iteration,killed_h_squish,killed_in_squish,killed_zombie,skipped_in,saved_h,saved_in,killed_z,killed_c,saved_z,saved_c
291,0,0,1,1,1,0,0,0,2,0
292,0,2,0,1,1,2,4,0,1,0
293,0,1,0,0,0,0,2,0,0,0
294,1,1,3,0,0,2,1,0,2,0
295,0,1,0,1,1,0,3,0,0,0
296,0,1,1,1,0,1,2,0,4,0
297,0,0,0,0,1,0,0,0,2,0
298,0,3,5,1,0,0,4,0,4,0
299,1,2,0,0,0,0,3,0,2,0
300,0,2,0,1,2,3,0,0,0,0
301,0,3,0,0,1,2,1,0,1,0
302,1,2,0,0,0,0,2,0,3,0
303,0,1,0,1,1,0,2,0,0,0
304,0,2,2,1,2,1,3,0,2,0
305,0,1,0,0,1,1,1,0,0,0
306,3,3,0,0,2,0,0,0,3,0
307,1,3,3,2,0,0,2,0,2,0
308,1,0,0,3,1,1,1,0,0,0
309,3,4,1,5,0,0,2,0,1,0
310,1,2,2,1,0,1,3,0,2,0
311,0,0,0,2,0,0,3,0,2,0
312,2,2,0,2,0,0,4,0,1,0
313,1,1,0,1,1,1,1,0,0,0
314,0,2,0,2,0,0,0,0,0,0
315,1,2,0,0,0,4,0,0,1,0
316,0,1,0,2,1,1,0,0,4,0
317,4,4,1,2,2,0,1,0,2,0
318,1,3,0,1,1,1,1,0,0,0
319,0,0,2,3,0,1,0,0,1,0
320,0,0,0,5,4,2,1,0,1,0
321,0,1,0,3,1,0,0,0,0,0
322,3,1,2,2,1,0,0,0,2,0
323,0,0,1,2,1,0,1,0,2,0
324,0,2,3,1,0,1,4,0,4,0
325,2,0,0,1,1,2,1,0,2,0
326,2,1,4,1,2,0,2,0,1,0
327,0,0,0,0,2,0,0,0,0,0
328,2,0,3,0,1,0,1,0,2,0
329,0,5,0,2,1,1,1,0,0,0
330,0,2,1,1,0,3,4,0,2,0
331,1,0,0,0,0,0,1,0,1,0
332,1,1,3,2,0,0,1,0,1,0
333,0,1,1,1,0,0,2,0,1,0
334,1,3,0,1,1,0,2,0,0,0
335,1,1,0,1,1,1,2,0,2,0
336,2,1,0,2,0,0,2,0,0,0
337,3,1,2,3,1,0,2,0,3,0
338,2,1,0,1,0,0,0,0,1,0
339,1,2,0,1,0,1,1,0,3,0
340,1,4,0,0,0,0,0,0,6,0
341,2,1,1,1,1,0,4,0,3,0
342,1,4,0,2,0,2,1,0,1,0
343,4,3,0,2,3,3,5,0,0,0
344,0,2,3,1,0,0,2,0,4,0
345,2,1,3,2,1,0,3,0,3,0
346,0,2,0,1,0,2,1,0,1,0
347,1,0,0,4,3,1,0,0,1,0
348,0,0,1,1,1,0,0,0,2,0
349,1,3,0,2,0,1,3,0,2,0
350,0,1,0,0,0,0,1,0,0,0
351,2,3,2,3,0,0,0,0,4,0
352,2,1,0,0,1,0,0,0,2,0
353,2,2,0,2,1,2,2,0,2,0
354,5,1,0,1,1,0,0,0,1,0
355,0,2,0,1,1,0,1,0,0,0
356,0,0,0,3,1,1,0,0,0,0
357,2,1,0,2,0,1,1,0,2,0
358,1,0,1,4,2,3,1,0,2,0
359,0,0,2,0,0,0,0,0,2,0
360,0,0,0,1,2,0,0,0,1,0
361,1,3,1,5,0,4,1,0,2,0
362,1,2,0,5,0,1,3,0,2,0
363,2,1,0,0,0,2,5,0,1,0
364,0,2,0,0,0,0,2,0,2,0
365,2,2,1,3,0,2,4,0,2,0
366,1,3,0,3,2,0,2,0,1,0
367,1,3,0,1,0,1,0,0,0,0
368,0,5,0,2,0,1,1,0,4,0
369,0,3,1,3,1,1,1,0,2,0
370,2,5,4,2,0,0,4,0,3,0
371,3,2,1,4,0,0,3,0,2,0
372,3,5,0,4,0,1,2,0,2,0
373,0,1,3,1,0,0,1,0,1,0
374,0,5,2,3,0,1,2,0,3,0
375,0,1,0,0,1,2,1,0,0,0
376,1,2,2,1,0,0,2,0,2,0
377,0,6,1,1,1,0,3,0,2,0
378,3,4,0,3,0,2,0,0,4,0
379,1,2,2,2,3,0,1,0,2,0
380,0,1,0,0,1,0,1,0,1,0
381,2,3,3,3,0,2,3,0,2,0
382,1,2,0,3,1,2,0,0,1,0
383,0,0,0,0,1,1,0,0,1,0
384,2,3,2,0,2,1,1,0,4,0
385,0,0,2,1,0,0,0,0,4,0
386,1,3,2,1,0,0,4,0,4,0
387,1,3,0,1,1,3,5,0,1,0
388,0,0,0,1,1,2,1,0,1,0
389,0,1,0,1,0,4,1,0,2,0
390,3,4,0,3,1,1,2,0,1,0
391,1,1,0,1,0,2,1,0,0,0
392,1,3,0,2,2,0,1,0,3,0
393,0,3,0,2,1,1,2,0,1,0
394,0,0,3,2,1,0,0,0,1,0
395,2,6,0,1,2,1,4,0,0,0
396,1,0,2,0,0,0,1,0,2,0
397,1,3,1,2,1,0,5,0,1,0
398,2,1,0,0,1,1,0,0,0,0
399,1,3,0,2,0,1,2,0,0,0
400,0,0,3,0,0,1,0,0,3,0
401,2,1,0,1,2,1,1,0,0,0
402,0,0,0,4,2,1,0,0,0,0
403,0,1,0,1,0,0,0,0,1,0
404,0,3,4,1,1,1,1,0,3,0
405,1,2,1,4,0,1,0,0,3,0
406,0,4,0,1,0,1,0,0,1,0
407,0,0,0,1,0,0,0,0,1,0
408,3,1,0,1,0,2,2,0,2,0
409,1,2,0,0,0,1,1,0,1,0
410,1,5,3,2,0,0,0,0,2,0
411,0,1,0,1,0,1,2,0,1,0
412,0,0,1,0,1,0,0,0,1,0
413,2,3,1,1,1,0,0,0,4,0
414,2,3,0,1,1,3,1,0,0,0
415,4,2,1,2,0,0,2,0,3,0
416,0,0,0,0,2,0,3,0,3,0
417,0,1,0,1,1,0,1,0,1,0
418,0,6,0,1,2,2,2,0,2,0
419,1,2,0,1,1,0,2,0,0,0
420,0,1,1,1,0,1,3,0,2,0
421,2,2,0,2,2,0,2,0,0,0
422,0,2,0,2,0,0,2,0,1,0
423,1,2,1,1,0,0,1,0,4,0
424,0,2,0,2,2,1,2,0,1,0
425,0,1,3,1,1,2,1,0,4,0
426,1,1,0,2,0,0,0,0,0,0
427,0,0,0,2,2,1,4,0,0,0
428,1,1,0,0,1,1,2,0,0,0
429,2,3,0,0,0,2,3,0,0,0
430,1,4,0,2,0,1,2,0,0,0
431,2,6,0,1,2,0,2,0,2,0
432,3,2,0,0,0,1,1,0,0,0
433,0,2,0,0,0,0,1,0,3,0
434,0,1,1,2,1,0,0,0,3,0
435,2,1,0,2,1,0,0,0,1,0
436,1,2,3,0,1,1,1,0,3,0
437,0,0,2,2,1,0,1,0,2,0
438,0,3,1,3,1,0,2,0,3,0
439,0,5,1,2,0,1,4,0,3,0
440,0,1,0,2,0,1,2,0,1,0
441,0,2,2,2,0,0,1,0,2,0
442,0,4,0,0,2,0,3,0,3,0
443,1,3,0,2,1,1,2,0,1,0
444,0,0,1,1,0,0,1,0,3,0
445,0,0,0,0,0,1,1,0,0,0
446,0,4,1,2,3,1,2,0,2,0
447,0,1,2,2,2,0,2,0,1,0
448,3,2,0,2,1,0,3,0,1,0
449,1,1,0,0,1,1,0,0,1,0
450,0,0,0,1,1,0,0,0,0,0
451,1,1,0,1,0,1,2,0,3,0
452,1,1,0,0,3,1,1,0,0,0
453,2,3,1,5,0,0,0,0,3,0
454,1,0,0,1,0,0,0,0,2,0
455,0,1,0,0,0,2,5,0,0,0
456,0,3,0,1,1,0,1,0,1,0
457,1,0,0,1,4,3,3,0,0,0
458,1,3,1,2,1,1,1,0,2,0
459,2,1,0,1,0,2,1,0,1,0
460,2,0,0,2,2,0,2,0,1,0
461,1,3,0,2,0,0,2,0,0,0
462,2,3,2,0,1,0,4,0,2,0
463,0,8,1,1,0,0,2,0,3,0
464,1,2,3,2,1,0,0,0,2,0
465,2,4,1,4,0,2,1,0,1,0
466,0,1,0,0,0,0,1,0,2,0
467,2,3,0,0,1,0,4,0,1,0
468,0,2,1,1,0,0,0,0,1,0
469,2,1,0,1,1,3,1,0,1,0
470,1,3,0,1,0,2,4,0,1,0
471,2,1,0,1,1,0,2,0,4,0
472,0,1,0,0,1,1,1,0,0,0
473,3,5,0,4,2,1,5,0,1,0
474,3,7,0,2,1,1,8,0,1,0
475,0,2,0,1,0,0,3,0,2,0
476,0,0,0,1,1,2,3,0,2,0
477,1,1,0,0,1,2,1,0,0,0
478,2,2,0,4,1,2,3,0,0,0
479,0,1,0,2,0,2,2,0,0,0
480,1,3,0,4,2,1,2,0,4,0
481,0,0,0,1,0,1,1,0,1,0
482,1,2,0,4,0,2,2,0,1,0
483,0,0,0,1,0,0,1,0,0,0
484,0,2,1,2,0,1,1,0,1,0
485,1,3,0,3,1,2,2,0,0,0
486,0,1,0,0,0,0,0,0,0,0
487,5,5,0,3,1,0,3,0,1,0
488,0,1,0,0,0,1,2,0,2,0
489,2,3,0,1,2,1,0,0,1,0
490,0,1,0,0,1,1,0,0,0,0
491,0,2,1,1,0,3,1,0,2,0
492,0,2,3,0,1,0,1,0,2,0
493,0,0,1,1,1,1,0,0,1,0
494,1,3,0,0,0,0,4,0,1,0
495,1,0,4,0,0,0,3,0,3,0
